Source;Target
12350.0;12538.0
12350.0;13544.0
12350.0;15006.0
12538.0;12350.0
12538.0;13544.0
12538.0;15006.0
13544.0;12350.0
13544.0;12538.0
13544.0;15006.0
15006.0;12350.0
15006.0;12538.0
15006.0;13544.0
12350.0;12538.0
12350.0;14974.0
12350.0;15006.0
12350.0;15019.0
12350.0;18209.0
12538.0;12350.0
12538.0;14974.0
12538.0;15006.0
12538.0;15019.0
12538.0;18209.0
14974.0;12350.0
14974.0;12538.0
14974.0;15006.0
14974.0;15019.0
14974.0;18209.0
15006.0;12350.0
15006.0;12538.0
15006.0;14974.0
15006.0;15019.0
15006.0;18209.0
15019.0;12350.0
15019.0;12538.0
15019.0;14974.0
15019.0;15006.0
15019.0;18209.0
18209.0;12350.0
18209.0;12538.0
18209.0;14974.0
18209.0;15006.0
18209.0;15019.0
12350.0;12556.0
12350.0;13151.0
12350.0;14693.0
12350.0;17507.0
12350.0;17569.0
12556.0;12350.0
12556.0;13151.0
12556.0;14693.0
12556.0;17507.0
12556.0;17569.0
13151.0;12350.0
13151.0;12556.0
13151.0;14693.0
13151.0;17507.0
13151.0;17569.0
14693.0;12350.0
14693.0;12556.0
14693.0;13151.0
14693.0;17507.0
14693.0;17569.0
17507.0;12350.0
17507.0;12556.0
17507.0;13151.0
17507.0;14693.0
17507.0;17569.0
17569.0;12350.0
17569.0;12556.0
17569.0;13151.0
17569.0;14693.0
17569.0;17507.0
12350.0;14594.0
12350.0;14954.0
12350.0;15006.0
12350.0;16364.0
12350.0;17070.0
12350.0;17889.0
14594.0;12350.0
14594.0;14954.0
14594.0;15006.0
14594.0;16364.0
14594.0;17070.0
14594.0;17889.0
14954.0;12350.0
14954.0;14594.0
14954.0;15006.0
14954.0;16364.0
14954.0;17070.0
14954.0;17889.0
15006.0;12350.0
15006.0;14594.0
15006.0;14954.0
15006.0;16364.0
15006.0;17070.0
15006.0;17889.0
16364.0;12350.0
16364.0;14594.0
16364.0;14954.0
16364.0;15006.0
16364.0;17070.0
16364.0;17889.0
17070.0;12350.0
17070.0;14594.0
17070.0;14954.0
17070.0;15006.0
17070.0;16364.0
17070.0;17889.0
17889.0;12350.0
17889.0;14594.0
17889.0;14954.0
17889.0;15006.0
17889.0;16364.0
17889.0;17070.0
12350.0;13322.0
12350.0;13544.0
12350.0;13642.0
12350.0;14048.0
12350.0;14448.0
12350.0;14985.0
12350.0;15720.0
12350.0;15880.0
12350.0;16402.0
12350.0;17329.0
12350.0;17793.0
12350.0;17836.0
12350.0;18119.0
13322.0;12350.0
13322.0;13544.0
13322.0;13642.0
13322.0;14048.0
13322.0;14448.0
13322.0;14985.0
13322.0;15720.0
13322.0;15880.0
13322.0;16402.0
13322.0;17329.0
13322.0;17793.0
13322.0;17836.0
13322.0;18119.0
13544.0;12350.0
13544.0;13322.0
13544.0;13642.0
13544.0;14048.0
13544.0;14448.0
13544.0;14985.0
13544.0;15720.0
13544.0;15880.0
13544.0;16402.0
13544.0;17329.0
13544.0;17793.0
13544.0;17836.0
13544.0;18119.0
13642.0;12350.0
13642.0;13322.0
13642.0;13544.0
13642.0;14048.0
13642.0;14448.0
13642.0;14985.0
13642.0;15720.0
13642.0;15880.0
13642.0;16402.0
13642.0;17329.0
13642.0;17793.0
13642.0;17836.0
13642.0;18119.0
14048.0;12350.0
14048.0;13322.0
14048.0;13544.0
14048.0;13642.0
14048.0;14448.0
14048.0;14985.0
14048.0;15720.0
14048.0;15880.0
14048.0;16402.0
14048.0;17329.0
14048.0;17793.0
14048.0;17836.0
14048.0;18119.0
14448.0;12350.0
14448.0;13322.0
14448.0;13544.0
14448.0;13642.0
14448.0;14048.0
14448.0;14985.0
14448.0;15720.0
14448.0;15880.0
14448.0;16402.0
14448.0;17329.0
14448.0;17793.0
14448.0;17836.0
14448.0;18119.0
14985.0;12350.0
14985.0;13322.0
14985.0;13544.0
14985.0;13642.0
14985.0;14048.0
14985.0;14448.0
14985.0;15720.0
14985.0;15880.0
14985.0;16402.0
14985.0;17329.0
14985.0;17793.0
14985.0;17836.0
14985.0;18119.0
15720.0;12350.0
15720.0;13322.0
15720.0;13544.0
15720.0;13642.0
15720.0;14048.0
15720.0;14448.0
15720.0;14985.0
15720.0;15880.0
15720.0;16402.0
15720.0;17329.0
15720.0;17793.0
15720.0;17836.0
15720.0;18119.0
15880.0;12350.0
15880.0;13322.0
15880.0;13544.0
15880.0;13642.0
15880.0;14048.0
15880.0;14448.0
15880.0;14985.0
15880.0;15720.0
15880.0;16402.0
15880.0;17329.0
15880.0;17793.0
15880.0;17836.0
15880.0;18119.0
16402.0;12350.0
16402.0;13322.0
16402.0;13544.0
16402.0;13642.0
16402.0;14048.0
16402.0;14448.0
16402.0;14985.0
16402.0;15720.0
16402.0;15880.0
16402.0;17329.0
16402.0;17793.0
16402.0;17836.0
16402.0;18119.0
17329.0;12350.0
17329.0;13322.0
17329.0;13544.0
17329.0;13642.0
17329.0;14048.0
17329.0;14448.0
17329.0;14985.0
17329.0;15720.0
17329.0;15880.0
17329.0;16402.0
17329.0;17793.0
17329.0;17836.0
17329.0;18119.0
17793.0;12350.0
17793.0;13322.0
17793.0;13544.0
17793.0;13642.0
17793.0;14048.0
17793.0;14448.0
17793.0;14985.0
17793.0;15720.0
17793.0;15880.0
17793.0;16402.0
17793.0;17329.0
17793.0;17836.0
17793.0;18119.0
17836.0;12350.0
