Source;Target;Weight
10002;20750;2
10002;21452;3
10002;22562;2
10002;22652;2
10002;22653;2
10002;22736;2
10002;22739;2
10002;22834;2
10002;22952;2
10002;22968;2
10120;16237;3
10120;20749;2
10120;20961;3
10120;20963;2
10120;20986;2
10120;21891;2
10120;22148;2
10120;22383;2
10120;22399;2
10120;22493;2
10120;22560;2
10120;22562;2
10120;22620;2
10120;22621;2
10120;22756;2
10120;22757;2
10120;22758;2
10120;22959;2
10120;22966;2
10120;84006;2
10120;84012;2
10125;20719;2
10125;20727;2
10125;21122;2
10125;21126;2
10125;21210;2
10125;21791;2
10125;21980;2
10125;21985;2
10125;22133;2
10125;22356;2
10125;22382;2
10125;22551;2
10125;22759;2
10125;84199;2
10133;10135;3
10133;20974;2
10133;20975;2
10133;20984;2
10133;21381;2
10133;21386;2
10133;21485;2
10133;21790;2
10133;21890;2
10133;22082;2
10133;22161;2
10133;22174;2
10133;22208;3
10133;22210;2
10133;22374;2
10133;22489;3
10133;22491;2
10133;22560;3
10133;22561;3
10133;22606;2
10133;22609;2
10133;22619;2
10133;22620;2
10133;22621;2
10133;23084;2
10133;23167;2
10133;23177;2
10133;23190;2
10133;23192;2
10133;23263;2
10133;23310;2
10133;23571;2
10133;84978;2
10133;90114;2
10133;85049G;2
10133;85132B;2
10133;85132C;2
10135;10133;3
10135;20727;2
10135;20982;2
10135;20986;2
10135;21257;2
10135;21314;2
10135;21485;4
10135;21790;3
10135;21891;2
10135;21892;2
10135;21903;2
10135;21912;2
10135;21914;2
10135;21915;2
10135;22114;2
10135;22150;2
10135;22191;2
10135;22222;2
10135;22349;2
10135;22402;2
10135;22429;2
10135;22489;2
10135;22491;2
10135;22492;3
10135;22560;2
10135;22561;4
10135;22620;3
10135;22624;2
10135;22646;2
10135;22654;2
10135;22662;2
10135;22776;2
10135;22782;2
10135;22835;2
10135;22891;2
10135;23084;2
10135;23118;2
10135;23167;2
10135;23322;2
10135;23542;2
10135;72741;2
10135;84077;2
10135;85049E;2
11001;20971;2
11001;21123;2
11001;21371;2
11001;21591;2
11001;22383;2
11001;22439;2
11001;22633;2
11001;22743;2
11001;23100;2
11001;23103;3
11001;23198;2
11001;23215;2
11001;23339;2
11001;23344;2
11001;72741;2
15030;21064;2
15030;22555;2
15030;82552;2
15034;15039;2
15034;17003;3
15034;20752;2
15034;20975;2
15034;20982;2
15034;21642;2
15034;21791;3
15034;21888;3
15034;21914;3
15034;21947;2
15034;22493;2
15034;22535;2
15034;22908;2
15034;23076;2
15034;35648;2
15034;37413;3
15034;62018;2
15034;72819;2
15034;84991;2
15034;85034C;2
15034;85099C;2
15036;15039;4
15036;16237;2
15036;17003;2
15036;20723;2
15036;20724;2
15036;20725;2
15036;20727;2
15036;20728;3
15036;20777;2
15036;20963;2
15036;21122;2
15036;21124;2
15036;21169;2
15036;21175;3
15036;21181;3
15036;21328;2
15036;21485;2
15036;21621;3
15036;21790;3
15036;21791;2
15036;21891;2
15036;21892;2
15036;21907;2
15036;21914;2
15036;21931;2
15036;21937;2
15036;21990;2
15036;22025;2
15036;22114;2
15036;22215;2
15036;22382;3
15036;22383;2
15036;22384;3
15036;22399;2
15036;22412;2
15036;22456;2
15036;22467;3
15036;22502;2
15036;22550;2
15036;22562;2
15036;22563;3
15036;22621;2
15036;22637;2
15036;22646;2
15036;22659;2
15036;22693;2
15036;22714;2
15036;22726;2
15036;22766;2
15036;22768;2
15036;22776;2
15036;22804;2
15036;22835;2
15036;22900;2
15036;22940;2
15036;22970;2
15036;23076;4
15036;23080;3
15036;23083;2
15036;23084;2
15036;23155;2
15036;23199;3
15036;23202;2
15036;23206;2
15036;23209;3
15036;23238;2
15036;23343;2
15036;23370;2
15036;23371;2
15036;23432;2
15036;23444;2
15036;40016;2
15036;71477;4
15036;72741;2
15036;72819;2
15036;79321;2
15036;82600;2
15036;84077;2
15036;84347;2
15036;84692;3
15036;84946;3
15036;84988;2
15036;85066;2
15036;85152;2
15036;15044A;3
15036;15044C;3
15036;15044D;2
15036;15056N;3
15036;15056P;2
15036;17084J;2
15036;75049L;2
15036;84558A;2
15036;85014A;2
15036;85014B;2
15036;85099C;2
15036;85099F;2
15036;85132C;2
15036;85184C;2
15039;15034;2
15039;15036;4
15039;21485;2
15039;21592;2
15039;21705;2
15039;21791;2
15039;21892;3
15039;21899;2
15039;22187;2
15039;22554;2
15039;22563;2
15039;22637;4
15039;22667;2
15039;22726;2
15039;23131;2
15039;23196;2
15039;23198;2
15039;23300;2
15039;17084P;2
16008;20971;2
16008;20975;2
16008;20985;2
16008;22150;2
16008;22566;2
16008;22652;2
16008;22749;2
16008;23493;2
16008;35970;2
16008;72232;2
16011;20984;2
16011;21680;2
16011;21790;2
16011;21889;2
16011;21892;2
16011;21912;2
16011;21915;2
16011;22090;2
16011;22210;2
16011;22375;2
16011;22489;2
16011;22531;2
16011;22535;2
16011;22536;2
16011;22540;2
16011;22544;2
16011;22545;2
16011;22549;2
16011;22556;2
16011;22620;2
16011;22743;2
16011;22744;2
16011;22746;2
16011;22748;2
16011;22756;2
16011;22758;2
16011;23192;2
16011;84378;2
16011;84988;2
16011;85039B;2
16011;85040A;2
16012;16238;2
16012;21015;2
16012;21588;2
16012;21591;2
16012;21889;2
16012;21912;2
16012;22315;3
16012;22556;2
16012;22733;2
16012;22834;2
16012;22844;2
16012;22940;2
16012;23083;2
16012;23084;2
16012;23199;2
16012;23343;2
16012;23349;2
16012;23352;2
16012;23389;2
16012;84012;2
16012;47559B;2
16014;16015;2
16014;16016;4
16014;22293;2
16014;22722;2
16014;22980;2
16014;23243;2
