Source;Target;Type;Id;Label;Weight
12350.0;12538.0;Undirected;579644;;4
12350.0;13544.0;Undirected;579645;;4
12350.0;15006.0;Undirected;579646;;8
12538.0;13544.0;Undirected;579648;;6
12538.0;15006.0;Undirected;579649;;4
13544.0;15006.0;Undirected;579652;;12
12350.0;14974.0;Undirected;579657;;2
12350.0;15019.0;Undirected;579659;;2
12350.0;18209.0;Undirected;579660;;2
12538.0;14974.0;Undirected;579662;;2
12538.0;15019.0;Undirected;579664;;8
12538.0;18209.0;Undirected;579665;;2
14974.0;15006.0;Undirected;579668;;4
14974.0;15019.0;Undirected;579669;;2
14974.0;18209.0;Undirected;579670;;4
15006.0;15019.0;Undirected;579674;;6
15006.0;18209.0;Undirected;579675;;6
15019.0;18209.0;Undirected;579680;;2
12350.0;12556.0;Undirected;579686;;4
12350.0;13151.0;Undirected;579687;;4
12350.0;14693.0;Undirected;579688;;2
12350.0;17507.0;Undirected;579689;;6
12350.0;17569.0;Undirected;579690;;4
12556.0;13151.0;Undirected;579692;;14
12556.0;14693.0;Undirected;579693;;4
12556.0;17507.0;Undirected;579694;;20
12556.0;17569.0;Undirected;579695;;4
13151.0;14693.0;Undirected;579698;;2
13151.0;17507.0;Undirected;579699;;22
13151.0;17569.0;Undirected;579700;;6
14693.0;17507.0;Undirected;579704;;4
14693.0;17569.0;Undirected;579705;;2
17507.0;17569.0;Undirected;579710;;8
12350.0;14594.0;Undirected;579716;;4
12350.0;14954.0;Undirected;579717;;6
12350.0;16364.0;Undirected;579719;;2
12350.0;17070.0;Undirected;579720;;2
12350.0;17889.0;Undirected;579721;;4
14594.0;14954.0;Undirected;579723;;2
14594.0;15006.0;Undirected;579724;;6
14594.0;16364.0;Undirected;579725;;4
14594.0;17070.0;Undirected;579726;;10
14594.0;17889.0;Undirected;579727;;2
14954.0;15006.0;Undirected;579730;;16
14954.0;16364.0;Undirected;579731;;2
14954.0;17070.0;Undirected;579732;;8
14954.0;17889.0;Undirected;579733;;2
15006.0;16364.0;Undirected;579737;;8
15006.0;17070.0;Undirected;579738;;4
15006.0;17889.0;Undirected;579739;;2
16364.0;17070.0;Undirected;579744;;6
16364.0;17889.0;Undirected;579745;;4
17070.0;17889.0;Undirected;579751;;4
12350.0;13322.0;Undirected;579758;;2
12350.0;13642.0;Undirected;579760;;2
12350.0;14048.0;Undirected;579761;;4
12350.0;14448.0;Undirected;579762;;2
12350.0;14985.0;Undirected;579763;;4
12350.0;15720.0;Undirected;579764;;2
12350.0;15880.0;Undirected;579765;;6
12350.0;16402.0;Undirected;579766;;2
12350.0;17329.0;Undirected;579767;;2
12350.0;17793.0;Undirected;579768;;4
12350.0;17836.0;Undirected;579769;;4
12350.0;18119.0;Undirected;579770;;4
13322.0;13544.0;Undirected;579772;;2
13322.0;13642.0;Undirected;579773;;4
13322.0;14048.0;Undirected;579774;;2
13322.0;14448.0;Undirected;579775;;2
13322.0;14985.0;Undirected;579776;;2
13322.0;15720.0;Undirected;579777;;2
13322.0;15880.0;Undirected;579778;;4
13322.0;16402.0;Undirected;579779;;2
13322.0;17329.0;Undirected;579780;;6
13322.0;17793.0;Undirected;579781;;2
13322.0;17836.0;Undirected;579782;;2
13322.0;18119.0;Undirected;579783;;2
13544.0;13642.0;Undirected;579786;;10
13544.0;14048.0;Undirected;579787;;10
13544.0;14448.0;Undirected;579788;;6
13544.0;14985.0;Undirected;579789;;4
