Id;Label;modularity_class;Degree
12350.0;;1;217
12538.0;;1;219
13544.0;;4;620
15006.0;;4;851
14974.0;;4;251
15019.0;;1;662
18209.0;;4;188
12556.0;;0;940
13151.0;;0;754
14693.0;;0;78
17507.0;;0;712
17569.0;;0;406
14594.0;;4;577
14954.0;;3;833
16364.0;;1;602
17070.0;;1;756
17889.0;;0;217
13322.0;;0;337
13642.0;;0;703
14048.0;;0;631
14448.0;;2;277
14985.0;;1;717
15720.0;;4;927
15880.0;;0;781
16402.0;;0;617
17329.0;;4;395
17793.0;;4;578
17836.0;;2;279
18119.0;;1;407
16096.0;;2;238
16415.0;;4;497
17908.0;;1;439
17935.0;;1;274
18101.0;;4;304
12872.0;;0;617
12988.0;;0;439
13259.0;;0;623
13350.0;;3;528
13565.0;;4;424
13598.0;;4;545
14335.0;;3;677
14375.0;;0;647
14549.0;;0;678
14619.0;;3;411
14896.0;;0;504
14965.0;;0;775
15092.0;;0;413
15303.0;;0;486
15406.0;;0;618
15457.0;;0;668
15503.0;;1;688
15520.0;;0;249
15664.0;;0;214
15976.0;;0;839
16056.0;;0;701
16212.0;;1;715
16222.0;;0;1018
16374.0;;4;1067
16399.0;;0;786
16788.0;;3;1107
17189.0;;2;598
17486.0;;0;298
17604.0;;0;666
17786.0;;0;676
18228.0;;4;363
12510.0;;1;491
12797.0;;1;296
12832.0;;1;577
12982.0;;1;367
13255.0;;4;282
13385.0;;0;415
13485.0;;1;470
13503.0;;1;318
13506.0;;1;501
13621.0;;1;279
13707.0;;0;622
13712.0;;1;174
13786.0;;1;153
13927.0;;1;422
14651.0;;0;820
15012.0;;1;910
15091.0;;1;427
15314.0;;1;369
15360.0;;1;207
15554.0;;3;395
15766.0;;3;278
16026.0;;1;365
16097.0;;1;212
16147.0;;1;389
16202.0;;0;290
16337.0;;1;206
16347.0;;4;751
16354.0;;1;507
16372.0;;1;875
16411.0;;1;744
16499.0;;1;407
16650.0;;1;635
16680.0;;1;242
16758.0;;4;374
16763.0;;1;393
16846.0;;1;256
16848.0;;1;327
16967.0;;1;423
17111.0;;1;449
17297.0;;0;459
17333.0;;1;483
17433.0;;4;777
17438.0;;0;365
17859.0;;1;340
17898.0;;1;410
17928.0;;1;441
17987.0;;1;167
18013.0;;1;371
12582.0;;1;190
13455.0;;0;577
13474.0;;0;553
14625.0;;2;614
15066.0;;2;660
15180.0;;0;150
15422.0;;2;65
15435.0;;2;440
15464.0;;0;1044
16134.0;;0;415
16727.0;;4;539
17254.0;;1;782
15035.0;;0;358
15342.0;;1;396
15466.0;;4;618
17252.0;;2;665
17303.0;;0;595
17962.0;;0;424
18078.0;;3;330
18129.0;;0;137
12390.0;;1;351
12426.0;;1;407
12447.0;;1;359
12452.0;;1;413
12461.0;;1;514
12579.0;;1;339
12580.0;;1;353
12616.0;;1;394
12729.0;;1;350
12735.0;;1;520
12784.0;;2;624
12838.0;;4;985
13008.0;;1;274
13023.0;;0;627
13300.0;;1;387
13341.0;;2;587
13428.0;;4;748
13569.0;;1;942
13817.0;;1;259
14082.0;;1;551
14087.0;;1;594
14517.0;;0;376
14624.0;;1;287
14644.0;;3;427
14729.0;;0;624
14780.0;;2;495
15147.0;;2;471
15349.0;;0;763
15545.0;;0;742
15573.0;;1;859
15579.0;;0;642
15970.0;;1;220
16305.0;;1;381
16403.0;;1;255
16648.0;;1;450
17081.0;;4;653
17936.0;;1;768
17964.0;;1;806
18151.0;;2;550
12446.0;;1;859
12508.0;;4;728
12624.0;;1;514
12673.0;;1;536
12750.0;;2;333
13166.0;;0;513
13223.0;;1;135
13345.0;;1;357
13370.0;;1;687
13483.0;;1;206
13673.0;;1;459
13721.0;;4;470
14023.0;;1;435
14494.0;;1;174
14656.0;;0;816
14762.0;;1;347
14929.0;;1;226
15041.0;;1;654
15120.0;;1;312
15320.0;;1;585
15637.0;;1;311
15748.0;;1;305
15942.0;;1;277
16247.0;;0;335
16483.0;;1;437
16602.0;;1;572
16674.0;;1;848
16834.0;;1;434
17321.0;;1;813
17510.0;;1;400
17760.0;;1;400
17795.0;;1;495
17843.0;;1;422
17855.0;;1;295
17984.0;;1;503
12809.0;;3;365
13821.0;;1;594
14098.0;;1;307
17514.0;;4;556
12558.0;;1;167
15918.0;;0;362
16302.0;;1;174
16392.0;;1;529
17035.0;;3;430
17301.0;;3;773
18110.0;;1;408
12353.0;;2;52
12355.0;;3;236
12420.0;;2;310
12591.0;;2;353
13276.0;;1;501
13570.0;;0;284
13781.0;;0;298
14413.0;;1;284
14873.0;;3;399
15017.0;;4;306
15272.0;;4;681
16072.0;;2;334
16243.0;;0;628
16971.0;;4;575
17110.0;;2;225
17229.0;;1;573
17901.0;;2;269
12863.0;;2;69
13239.0;;2;219
13291.0;;2;587
13369.0;;2;123
14570.0;;1;280
14714.0;;2;237
15182.0;;0;458
15212.0;;2;108
15224.0;;2;216
15543.0;;3;382
16292.0;;2;290
16573.0;;2;620
16776.0;;1;705
17418.0;;1;453
17455.0;;1;159
17582.0;;2;332
12358.0;;2;199
12888.0;;2;46
13711.0;;0;148
13809.0;;0;153
14508.0;;4;657
15045.0;;0;141
15776.0;;2;225
15912.0;;2;219
16278.0;;3;376
16315.0;;0;226
16461.0;;1;444
16883.0;;0;440
16471.0;;0;297
13271.0;;4;556
16204.0;;4;533
16667.0;;2;563
17931.0;;2;669
18181.0;;0;590
12965.0;;0;1130
13778.0;;1;217
14029.0;;1;254
14304.0;;1;342
14483.0;;0;186
14689.0;;0;218
15198.0;;4;116
15578.0;;1;331
16595.0;;1;796
17011.0;;2;278
17212.0;;3;121
17551.0;;2;450
17698.0;;1;109
17711.0;;0;256
17712.0;;0;366
17973.0;;4;195
18024.0;;0;282
18126.0;;4;482
18222.0;;0;234
12365.0;;3;376
12515.0;;3;245
12725.0;;3;283
12769.0;;3;522
12790.0;;3;289
12852.0;;3;342
12930.0;;3;406
13032.0;;3;781
13049.0;;3;376
13059.0;;3;194
13142.0;;3;456
13144.0;;3;108
13244.0;;3;356
13248.0;;3;329
13260.0;;3;154
13279.0;;3;154
13339.0;;3;604
13649.0;;3;371
13669.0;;3;247
13731.0;;3;516
13759.0;;3;335
13792.0;;4;318
13800.0;;3;478
13853.0;;3;357
13899.0;;3;413
14052.0;;3;703
14288.0;;3;222
14311.0;;3;288
14323.0;;3;453
14338.0;;3;497
14356.0;;3;502
14362.0;;3;445
14431.0;;3;379
14951.0;;3;215
15149.0;;3;422
15258.0;;3;558
15345.0;;3;327
15438.0;;0;462
15480.0;;3;447
15695.0;;3;355
15733.0;;3;352
15843.0;;3;121
15852.0;;3;350
15885.0;;3;344
15909.0;;3;146
15917.0;;3;191
15944.0;;3;207
16114.0;;3;177
16135.0;;3;495
16211.0;;3;458
16366.0;;3;195
16384.0;;3;521
16509.0;;3;307
16535.0;;3;550
16552.0;;3;363
16708.0;;3;516
16756.0;;3;209
16808.0;;3;294
16855.0;;3;297
17125.0;;3;486
17223.0;;3;523
17453.0;;3;296
17501.0;;3;382
17619.0;;0;678
17637.0;;3;537
17709.0;;3;164
17789.0;;3;159
17991.0;;3;129
18071.0;;3;417
18159.0;;3;286
18192.0;;3;671
14497.0;;2;633
17040.0;;3;362
12690.0;;3;316
12718.0;;3;307
12795.0;;3;299
13496.0;;4;549
13737.0;;3;369
13932.0;;3;287
14853.0;;3;163
15071.0;;0;445
15343.0;;3;424
15900.0;;4;565
16441.0;;3;382
17165.0;;3;308
17267.0;;3;595
17556.0;;3;164
17707.0;;3;190
18146.0;;3;259
18282.0;;3;244
12566.0;;2;334
13005.0;;0;420
13311.0;;0;319
13395.0;;4;337
13532.0;;4;695
13670.0;;4;410
13885.0;;0;512
14206.0;;1;257
14326.0;;0;320
14339.0;;1;241
14722.0;;1;413
15396.0;;1;270
15463.0;;0;169
15517.0;;2;362
15540.0;;4;176
15592.0;;2;428
15800.0;;0;957
16275.0;;0;657
16761.0;;2;183
16820.0;;1;472
16884.0;;4;376
17866.0;;0;212
18276.0;;4;302
12391.0;;1;664
12719.0;;1;485
13127.0;;1;207
13352.0;;4;362
14479.0;;0;369
14778.0;;4;425
15450.0;;4;492
15894.0;;4;425
15957.0;;4;434
16193.0;;1;400
17385.0;;1;417
18006.0;;4;331
18213.0;;0;307
18216.0;;0;328
14995.0;;0;545
15460.0;;2;627
15504.0;;2;104
17542.0;;1;360
14379.0;;0;473
16527.0;;0;261
17134.0;;0;381
17958.0;;4;119
17999.0;;2;734
15279.0;;2;228
15895.0;;1;163
16216.0;;0;465
16887.0;;4;365
17250.0;;4;639
18005.0;;1;687
18011.0;;1;268
13218.0;;1;50
14670.0;;1;755
14675.0;;1;911
15025.0;;4;696
16601.0;;2;355
17772.0;;4;640
12658.0;;4;459
12672.0;;2;198
12743.0;;4;895
13173.0;;2;490
13358.0;;0;396
13494.0;;2;236
14155.0;;2;95
14165.0;;2;299
14179.0;;0;1154
14819.0;;4;177
15184.0;;1;691
15355.0;;2;224
15541.0;;2;332
15883.0;;2;565
16104.0;;4;334
16386.0;;4;762
16565.0;;2;45
17124.0;;0;448
17464.0;;2;76
17976.0;;1;440
18240.0;;2;96
18277.0;;4;167
12519.0;;1;276
12665.0;;2;73
12871.0;;2;184
13229.0;;2;260
13368.0;;1;583
13512.0;;2;250
13762.0;;2;149
13898.0;;2;174
13933.0;;2;387
14109.0;;0;224
14142.0;;1;421
14772.0;;4;261
14924.0;;0;181
15234.0;;2;229
15246.0;;1;499
15276.0;;0;706
15677.0;;4;532
15724.0;;1;279
15850.0;;1;796
16084.0;;0;451
16404.0;;4;439
16529.0;;0;549
16647.0;;2;256
16796.0;;2;285
16978.0;;2;544
17051.0;;1;563
17540.0;;2;369
17555.0;;1;796
17718.0;;2;103
17947.0;;1;223
14647.0;;2;265
16968.0;;0;394
12589.0;;2;459
13060.0;;0;299
14068.0;;2;406
14162.0;;0;357
14555.0;;1;157
14799.0;;0;177
15419.0;;2;186
15700.0;;0;827
16048.0;;2;147
16528.0;;0;343
16598.0;;0;166
17119.0;;0;608
17397.0;;1;902
17860.0;;0;535
18205.0;;2;473
12834.0;;0;319
12882.0;;0;304
13484.0;;0;156
13699.0;;0;245
13893.0;;0;379
14589.0;;0;96
14628.0;;0;338
16185.0;;2;515
16425.0;;0;355
16781.0;;0;238
17117.0;;0;175
17374.0;;0;410
18104.0;;4;547
12384.0;;1;523
12401.0;;2;79
12651.0;;2;79
12815.0;;2;470
12816.0;;0;442
12974.0;;2;196
13332.0;;1;314
13615.0;;2;316
15921.0;;0;446
17278.0;;1;283
13207.0;;2;144
13284.0;;2;289
13967.0;;2;85
15101.0;;2;152
15205.0;;1;574
15353.0;;2;709
15537.0;;1;286
16526.0;;2;229
16753.0;;1;532
17138.0;;0;354
17384.0;;4;320
18085.0;;1;347
13272.0;;0;286
13473.0;;2;239
13504.0;;2;333
13826.0;;2;215
14076.0;;2;411
18050.0;;2;96
12361.0;;1;213
12478.0;;1;633
12493.0;;1;395
12639.0;;1;448
12785.0;;1;262
12793.0;;1;274
12811.0;;1;350
13355.0;;1;542
13356.0;;4;642
14489.0;;1;467
14598.0;;1;584
14753.0;;1;535
14757.0;;0;247
14998.0;;2;703
15007.0;;1;201
15213.0;;1;352
15256.0;;1;152
15417.0;;1;445
15821.0;;4;701
15930.0;;1;303
15967.0;;4;730
16230.0;;1;456
16412.0;;1;412
16484.0;;1;570
16777.0;;1;614
16914.0;;0;421
16932.0;;1;574
17031.0;;1;309
17118.0;;1;201
17176.0;;0;324
17248.0;;1;682
17256.0;;1;153
17325.0;;1;164
17614.0;;4;808
17791.0;;1;252
17967.0;;1;432
18158.0;;1;383
18262.0;;1;248
12373.0;;1;273
12592.0;;1;212
12962.0;;1;288
14039.0;;1;153
14054.0;;1;153
14204.0;;1;492
14317.0;;1;371
14396.0;;4;630
14886.0;;1;332
14888.0;;1;328
16351.0;;1;191
16450.0;;1;150
12402.0;;1;202
12468.0;;1;431
12491.0;;1;270
12492.0;;1;271
12522.0;;4;200
12561.0;;0;238
12564.0;;1;289
12581.0;;4;209
12623.0;;1;251
12802.0;;1;280
12812.0;;2;321
13243.0;;1;641
13780.0;;1;650
13816.0;;1;290
14149.0;;2;285
14636.0;;1;286
14703.0;;1;393
15165.0;;0;468
15507.0;;0;568
15552.0;;0;172
18040.0;;1;362
12703.0;;1;304
12732.0;;1;122
13262.0;;1;263
14485.0;;4;587
15090.0;;2;312
15154.0;;2;565
15725.0;;4;443
16555.0;;4;309
17344.0;;4;361
14552.0;;2;595
14981.0;;1;169
15174.0;;1;133
15204.0;;1;204
15363.0;;1;270
16239.0;;0;388
17120.0;;1;442
17148.0;;1;175
17701.0;;1;328
17893.0;;1;280
17913.0;;1;675
18009.0;;0;404
18033.0;;1;373
12386.0;;0;133
12565.0;;1;139
12660.0;;1;244
12740.0;;1;350
12890.0;;1;798
13667.0;;0;642
13930.0;;2;255
14059.0;;1;163
15054.0;;4;771
15872.0;;1;867
16022.0;;1;687
16080.0;;1;199
17247.0;;1;656
17513.0;;4;155
17783.0;;2;556
17885.0;;1;604
18027.0;;1;337
12367.0;;1;143
12920.0;;1;443
14114.0;;1;173
14420.0;;1;352
16297.0;;1;327
17052.0;;4;718
17708.0;;1;330
18015.0;;4;447
12448.0;;2;340
15475.0;;1;355
13990.0;;1;314
17771.0;;4;585
13040.0;;4;467
13226.0;;1;277
13974.0;;4;367
14248.0;;1;221
14331.0;;1;427
14350.0;;0;230
14457.0;;1;149
14480.0;;4;250
14801.0;;1;336
14840.0;;1;132
14966.0;;4;439
15148.0;;1;298
15163.0;;1;424
15243.0;;1;431
15333.0;;1;182
15348.0;;1;165
16063.0;;1;420
16339.0;;0;345
16561.0;;4;436
16611.0;;1;159
18156.0;;4;870
18160.0;;0;627
12374.0;;4;446
14652.0;;2;347
15292.0;;1;339
15437.0;;0;464
13357.0;;0;872
14622.0;;0;465
16313.0;;2;306
17697.0;;0;326
18252.0;;0;770
13955.0;;2;475
14761.0;;4;155
14850.0;;2;309
15746.0;;1;265
16030.0;;0;492
17356.0;;2;217
18176.0;;0;454
14747.0;;0;297
15886.0;;4;127
14036.0;;0;578
16352.0;;0;356
16921.0;;1;471
12410.0;;2;367
12442.0;;2;180
12895.0;;2;305
13420.0;;0;249
13581.0;;2;104
13684.0;;0;290
13774.0;;4;363
14171.0;;4;715
14320.0;;2;440
15139.0;;2;128
15280.0;;2;222
15327.0;;2;189
15699.0;;0;320
15925.0;;3;251
16113.0;;2;381
17415.0;;2;241
17431.0;;0;341
18185.0;;2;291
18274.0;;2;249
12547.0;;2;55
12733.0;;2;329
12922.0;;1;281
15454.0;;2;318
15888.0;;2;144
16338.0;;4;238
12573.0;;0;257
13170.0;;1;340
13462.0;;0;180
13723.0;;0;86
14453.0;;2;292
15211.0;;4;571
15471.0;;0;671
15869.0;;0;190
16596.0;;4;142
16721.0;;0;486
17409.0;;2;298
18074.0;;0;283
13046.0;;0;538
13210.0;;4;391
15408.0;;0;497
17742.0;;0;162
12430.0;;1;212
12944.0;;4;624
12945.0;;0;503
13349.0;;2;269
13522.0;;4;115
13602.0;;4;414
13863.0;;1;307
14813.0;;1;303
14953.0;;4;604
15000.0;;4;755
15068.0;;1;796
15472.0;;4;760
15803.0;;4;233
15853.0;;2;416
15870.0;;4;636
16119.0;;4;334
16127.0;;4;377
16343.0;;1;491
16803.0;;3;351
16878.0;;4;76
16933.0;;0;587
16947.0;;0;330
16961.0;;1;231
17194.0;;4;366
