Source;Target;Type;Id;Label;Weight
10002;20750;Undirected;386430;;4
10002;21452;Undirected;386431;;6
10002;22562;Undirected;386432;;4
10002;22652;Undirected;386433;;4
10002;22653;Undirected;386434;;4
10002;22736;Undirected;386435;;4
10002;22739;Undirected;386436;;4
10002;22834;Undirected;386437;;4
10002;22952;Undirected;386438;;4
10002;22968;Undirected;386439;;4
10120;16237;Undirected;386440;;6
10120;20749;Undirected;386441;;4
10120;20961;Undirected;386442;;6
10120;20963;Undirected;386443;;4
10120;20986;Undirected;386444;;4
10120;21891;Undirected;386445;;4
10120;22148;Undirected;386446;;4
10120;22383;Undirected;386447;;4
10120;22399;Undirected;386448;;4
10120;22493;Undirected;386449;;4
10120;22560;Undirected;386450;;4
10120;22562;Undirected;386451;;4
10120;22620;Undirected;386452;;4
10120;22621;Undirected;386453;;4
10120;22756;Undirected;386454;;4
10120;22757;Undirected;386455;;4
10120;22758;Undirected;386456;;4
10120;22959;Undirected;386457;;4
10120;22966;Undirected;386458;;4
10120;84006;Undirected;386459;;4
10120;84012;Undirected;386460;;4
10125;20719;Undirected;386461;;4
10125;20727;Undirected;386462;;4
10125;21122;Undirected;386463;;4
10125;21126;Undirected;386464;;4
10125;21210;Undirected;386465;;4
10125;21791;Undirected;386466;;4
10125;21980;Undirected;386467;;4
10125;21985;Undirected;386468;;4
10125;22133;Undirected;386469;;4
10125;22356;Undirected;386470;;4
10125;22382;Undirected;386471;;4
10125;22551;Undirected;386472;;4
10125;22759;Undirected;386473;;4
10125;84199;Undirected;386474;;4
10133;10135;Undirected;386475;;6
10133;20974;Undirected;386476;;4
10133;20975;Undirected;386477;;4
10133;20984;Undirected;386478;;4
10133;21381;Undirected;386479;;4
10133;21386;Undirected;386480;;4
10133;21485;Undirected;386481;;4
10133;21790;Undirected;386482;;4
10133;21890;Undirected;386483;;4
10133;22082;Undirected;386484;;4
10133;22161;Undirected;386485;;4
10133;22174;Undirected;386486;;4
10133;22208;Undirected;386487;;6
10133;22210;Undirected;386488;;4
10133;22374;Undirected;386489;;4
10133;22489;Undirected;386490;;6
10133;22491;Undirected;386491;;4
10133;22560;Undirected;386492;;6
10133;22561;Undirected;386493;;6
10133;22606;Undirected;386494;;4
10133;22609;Undirected;386495;;4
10133;22619;Undirected;386496;;4
10133;22620;Undirected;386497;;4
10133;22621;Undirected;386498;;4
10133;23084;Undirected;386499;;4
10133;23167;Undirected;386500;;4
10133;23177;Undirected;386501;;4
10133;23190;Undirected;386502;;4
10133;23192;Undirected;386503;;4
10133;23263;Undirected;386504;;4
10133;23310;Undirected;386505;;4
10133;23571;Undirected;386506;;4
10133;84978;Undirected;386507;;4
10133;90114;Undirected;386508;;4
10133;85049G;Undirected;386509;;4
10133;85132B;Undirected;386510;;4
10133;85132C;Undirected;386511;;4
10135;20727;Undirected;386513;;4
10135;20982;Undirected;386514;;4
10135;20986;Undirected;386515;;4
10135;21257;Undirected;386516;;4
10135;21314;Undirected;386517;;4
10135;21485;Undirected;386518;;8
10135;21790;Undirected;386519;;6
10135;21891;Undirected;386520;;4
10135;21892;Undirected;386521;;4
10135;21903;Undirected;386522;;4
10135;21912;Undirected;386523;;4
10135;21914;Undirected;386524;;4
10135;21915;Undirected;386525;;4
10135;22114;Undirected;386526;;4
10135;22150;Undirected;386527;;4
10135;22191;Undirected;386528;;4
10135;22222;Undirected;386529;;4
10135;22349;Undirected;386530;;4
10135;22402;Undirected;386531;;4
10135;22429;Undirected;386532;;4
10135;22489;Undirected;386533;;4
10135;22491;Undirected;386534;;4
10135;22492;Undirected;386535;;6
10135;22560;Undirected;386536;;4
10135;22561;Undirected;386537;;8
10135;22620;Undirected;386538;;6
10135;22624;Undirected;386539;;4
10135;22646;Undirected;386540;;4
10135;22654;Undirected;386541;;4
10135;22662;Undirected;386542;;4
10135;22776;Undirected;386543;;4
10135;22782;Undirected;386544;;4
10135;22835;Undirected;386545;;4
10135;22891;Undirected;386546;;4
10135;23084;Undirected;386547;;4
10135;23118;Undirected;386548;;4
10135;23167;Undirected;386549;;4
10135;23322;Undirected;386550;;4
10135;23542;Undirected;386551;;4
10135;72741;Undirected;386552;;4
10135;84077;Undirected;386553;;4
10135;85049E;Undirected;386554;;4
11001;20971;Undirected;386555;;4
11001;21123;Undirected;386556;;4
11001;21371;Undirected;386557;;4
11001;21591;Undirected;386558;;4
11001;22383;Undirected;386559;;4
11001;22439;Undirected;386560;;4
11001;22633;Undirected;386561;;4
11001;22743;Undirected;386562;;4
11001;23100;Undirected;386563;;4
11001;23103;Undirected;386564;;6
11001;23198;Undirected;386565;;4
11001;23215;Undirected;386566;;4
11001;23339;Undirected;386567;;4
11001;23344;Undirected;386568;;4
11001;72741;Undirected;386569;;4
15030;21064;Undirected;386570;;4
15030;22555;Undirected;386571;;4
15030;82552;Undirected;386572;;4
15034;15039;Undirected;386573;;4
15034;17003;Undirected;386574;;6
15034;20752;Undirected;386575;;4
15034;20975;Undirected;386576;;4
15034;20982;Undirected;386577;;4
15034;21642;Undirected;386578;;4
15034;21791;Undirected;386579;;6
15034;21888;Undirected;386580;;6
15034;21914;Undirected;386581;;6
15034;21947;Undirected;386582;;4
15034;22493;Undirected;386583;;4
15034;22535;Undirected;386584;;4
15034;22908;Undirected;386585;;4
15034;23076;Undirected;386586;;4
15034;35648;Undirected;386587;;4
15034;37413;Undirected;386588;;6
15034;62018;Undirected;386589;;4
15034;72819;Undirected;386590;;4
15034;84991;Undirected;386591;;4
15034;85034C;Undirected;386592;;4
15034;85099C;Undirected;386593;;4
15036;15039;Undirected;386594;;8
15036;16237;Undirected;386595;;4
15036;17003;Undirected;386596;;4
15036;20723;Undirected;386597;;4
15036;20724;Undirected;386598;;4
15036;20725;Undirected;386599;;4
15036;20727;Undirected;386600;;4
15036;20728;Undirected;386601;;6
15036;20777;Undirected;386602;;4
15036;20963;Undirected;386603;;4
15036;21122;Undirected;386604;;4
15036;21124;Undirected;386605;;4
15036;21169;Undirected;386606;;4
15036;21175;Undirected;386607;;6
15036;21181;Undirected;386608;;6
15036;21328;Undirected;386609;;4
15036;21485;Undirected;386610;;4
15036;21621;Undirected;386611;;6
15036;21790;Undirected;386612;;6
15036;21791;Undirected;386613;;4
15036;21891;Undirected;386614;;4
15036;21892;Undirected;386615;;4
15036;21907;Undirected;386616;;4
15036;21914;Undirected;386617;;4
15036;21931;Undirected;386618;;4
15036;21937;Undirected;386619;;4
15036;21990;Undirected;386620;;4
15036;22025;Undirected;386621;;4
15036;22114;Undirected;386622;;4
15036;22215;Undirected;386623;;4
15036;22382;Undirected;386624;;6
15036;22383;Undirected;386625;;4
15036;22384;Undirected;386626;;6
15036;22399;Undirected;386627;;4
15036;22412;Undirected;386628;;4
15036;22456;Undirected;386629;;4
15036;22467;Undirected;386630;;6
15036;22502;Undirected;386631;;4
15036;22550;Undirected;386632;;4
15036;22562;Undirected;386633;;4
15036;22563;Undirected;386634;;6
15036;22621;Undirected;386635;;4
15036;22637;Undirected;386636;;4
15036;22646;Undirected;386637;;4
15036;22659;Undirected;386638;;4
15036;22693;Undirected;386639;;4
15036;22714;Undirected;386640;;4
15036;22726;Undirected;386641;;4
15036;22766;Undirected;386642;;4
15036;22768;Undirected;386643;;4
15036;22776;Undirected;386644;;4
15036;22804;Undirected;386645;;4
15036;22835;Undirected;386646;;4
15036;22900;Undirected;386647;;4
15036;22940;Undirected;386648;;4
15036;22970;Undirected;386649;;4
15036;23076;Undirected;386650;;8
15036;23080;Undirected;386651;;6
15036;23083;Undirected;386652;;4
15036;23084;Undirected;386653;;4
15036;23155;Undirected;386654;;4
15036;23199;Undirected;386655;;6
15036;23202;Undirected;386656;;4
15036;23206;Undirected;386657;;4
15036;23209;Undirected;386658;;6
15036;23238;Undirected;386659;;4
15036;23343;Undirected;386660;;4
15036;23370;Undirected;386661;;4
15036;23371;Undirected;386662;;4
15036;23432;Undirected;386663;;4
15036;23444;Undirected;386664;;4
15036;40016;Undirected;386665;;4
15036;71477;Undirected;386666;;8
15036;72741;Undirected;386667;;4
15036;72819;Undirected;386668;;4
15036;79321;Undirected;386669;;4
15036;82600;Undirected;386670;;4
15036;84077;Undirected;386671;;4
15036;84347;Undirected;386672;;4
15036;84692;Undirected;386673;;6
15036;84946;Undirected;386674;;6
15036;84988;Undirected;386675;;4
15036;85066;Undirected;386676;;4
15036;85152;Undirected;386677;;4
15036;15044A;Undirected;386678;;6
15036;15044C;Undirected;386679;;6
15036;15044D;Undirected;386680;;4
15036;15056N;Undirected;386681;;6
15036;15056P;Undirected;386682;;4
15036;17084J;Undirected;386683;;4
15036;75049L;Undirected;386684;;4
15036;84558A;Undirected;386685;;4
15036;85014A;Undirected;386686;;4
15036;85014B;Undirected;386687;;4
15036;85099C;Undirected;386688;;4
15036;85099F;Undirected;386689;;4
15036;85132C;Undirected;386690;;4
15036;85184C;Undirected;386691;;4
15039;21485;Undirected;386694;;4
