Id;Label;modularity_class;Degree
10002;;0;10
20750;;1;195
21452;;0;93
22562;;0;255
22652;;2;383
22653;;2;74
22736;;0;139
22739;;0;282
22834;;0;409
22952;;0;412
22968;;2;101
10120;;0;21
16237;;0;205
20749;;0;346
20961;;0;64
20963;;0;38
20986;;0;23
21891;;0;326
22148;;0;113
22383;;1;493
22399;;0;31
22493;;0;229
22560;;0;413
22620;;0;271
22621;;0;416
22756;;0;40
22757;;0;42
22758;;0;65
22959;;0;112
22966;;2;437
84006;;0;32
84012;;0;63
10125;;1;14
20719;;1;122
20727;;1;438
21122;;3;163
21126;;0;36
21210;;2;242
21791;;0;340
21980;;1;328
21985;;1;449
22133;;1;13
22356;;1;69
22382;;1;480
22551;;1;444
22759;;0;366
84199;;0;88
10133;;0;37
10135;;0;43
20974;;0;315
20975;;0;353
20984;;1;164
21381;;2;73
21386;;2;14
21485;;2;461
21790;;0;481
21890;;0;219
22082;;6;411
22161;;6;115
22174;;0;104
22208;;0;190
22210;;0;248
22374;;0;211
22489;;0;149
22491;;0;110
22561;;0;422
22606;;0;108
22609;;1;43
22619;;0;289
23084;;0;444
23167;;4;178
23177;;0;286
23190;;0;95
23192;;0;226
23263;;6;278
23310;;0;60
23571;;0;232
84978;;2;362
90114;;0;10
85049G;;0;219
85132B;;1;13
85132C;;1;17
20982;;1;280
21257;;2;86
21314;;2;289
21892;;0;263
21903;;2;168
21912;;0;199
21914;;0;322
21915;;0;249
22114;;2;380
22150;;0;425
22191;;2;247
22222;;2;75
22349;;1;97
22402;;0;114
22429;;1;340
22492;;0;105
22624;;2;500
22646;;2;231
22654;;0;256
22662;;1;141
22776;;2;491
22782;;2;15
22835;;2;392
22891;;0;29
23118;;0;100
23322;;6;457
23542;;0;32
72741;;2;301
84077;;0;124
85049E;;0;381
11001;;0;15
20971;;0;302
21123;;0;64
21371;;1;13
21591;;0;267
22439;;0;125
22633;;0;478
22743;;0;129
23100;;6;210
23103;;6;433
23198;;0;404
23215;;6;131
23339;;1;74
23344;;0;417
15030;;0;3
21064;;0;80
22555;;0;422
82552;;2;272
15034;;2;21
15039;;2;19
17003;;2;91
20752;;2;101
21642;;0;131
21888;;0;202
21947;;1;123
22535;;0;97
22908;;2;160
23076;;0;145
35648;;2;35
37413;;1;25
62018;;1;29
72819;;1;25
84991;;2;349
85034C;;0;183
85099C;;1;292
15036;;1;98
20723;;1;69
20724;;1;224
20725;;1;372
20728;;1;395
20777;;2;20
21124;;3;145
21169;;2;273
21175;;2;432
21181;;2;476
21328;;0;226
21621;;2;334
21907;;2;273
21931;;1;387
21937;;1;52
21990;;0;166
22025;;0;8
22215;;2;11
22384;;1;365
22412;;2;71
22456;;2;319
22467;;0;313
22502;;2;170
22550;;0;89
22563;;0;399
22637;;2;156
22659;;1;181
22693;;2;122
22714;;0;40
22726;;4;329
22766;;2;304
22768;;2;139
22804;;2;424
22900;;2;293
22940;;0;440
22970;;0;176
23080;;6;217
23083;;0;203
23155;;4;12
23199;;1;223
23202;;1;313
23206;;1;240
23209;;1;328
23238;;0;69
23343;;0;330
23370;;0;66
23371;;0;182
23432;;0;24
23444;;2;8
40016;;1;7
71477;;6;112
79321;;1;271
82600;;2;326
84347;;0;254
84692;;0;201
84946;;6;475
84988;;2;202
85066;;2;410
85152;;2;384
15044A;;1;18
15044C;;1;9
15044D;;1;29
15056N;;3;224
15056P;;3;49
17084J;;1;2
75049L;;6;69
84558A;;0;18
85014A;;3;153
85014B;;3;194
85099F;;1;236
85184C;;2;83
21592;;0;378
21705;;0;55
21899;;2;262
22187;;6;63
22554;;0;465
22667;;2;431
23131;;6;172
23196;;0;243
23300;;6;440
17084P;;2;1
16008;;0;10
20985;;0;116
22566;;0;155
22749;;0;280
23493;;0;446
35970;;6;318
72232;;3;19
16011;;0;31
21680;;0;8
21889;;0;325
22090;;1;293
22375;;0;79
22531;;0;165
22536;;0;170
22540;;0;18
22544;;0;75
22545;;0;10
22549;;0;150
22556;;0;423
22744;;0;214
22746;;0;217
22748;;0;295
84378;;2;406
85039B;;0;70
85040A;;0;109
16012;;0;21
16238;;0;109
21015;;6;63
21588;;2;152
22315;;2;174
22733;;0;197
22844;;2;197
23349;;0;213
23352;;0;115
23389;;0;181
47559B;;2;155
16014;;2;7
16015;;2;29
16016;;2;23
22293;;2;106
22722;;2;491
22980;;4;119
23243;;4;178
20685;;2;316
21390;;2;92
21625;;2;135
21714;;2;132
21755;;2;452
22147;;0;310
22285;;2;43
22291;;2;89
22294;;2;120
22477;;3;70
22479;;3;42
22916;;3;161
22917;;3;161
22918;;3;171
22919;;3;144
22920;;3;160
22921;;3;148
23184;;2;146
84763;;2;8
84971S;;2;128
85194S;;2;40
21896;;2;79
22173;;2;360
22292;;2;87
22303;;2;136
22845;;2;158
22962;;4;114
82484;;2;257
15056BL;;3;151
85194L;;2;30
16045;;1;1
16048;;0;8
21163;;2;107
21616;;3;146
22752;;2;200
23290;;0;100
51014A;;0;91
16054;;1;2
21932;;1;193
16216;;0;16
16235;;0;55
21084;;0;68
21090;;0;35
21327;;0;272
22110;;0;220
22211;;0;149
22333;;0;97
22745;;0;234
22750;;0;315
22751;;0;191
23207;;1;284
47503H;;1;49
16218;;0;17
20992;;0;151
22694;;6;275
22816;;0;194
22972;;0;167
22974;;0;95
23289;;0;85
23350;;0;301
23367;;0;191
84596B;;0;299
84596F;;2;220
16225;;0;39
16236;;0;82
17021;;4;14
20972;;0;279
21479;;2;233
21744;;0;69
22300;;4;98
22301;;4;86
22380;;1;59
22532;;0;47
22553;;0;424
22607;;0;263
22632;;0;510
22953;;0;45
23318;;0;311
23356;;0;474
23397;;6;163
23439;;0;415
23461;;6;183
23479;;6;7
23485;;2;30
23502;;0;55
71053;;2;118
85048;;0;170
85150;;2;177
M;;1;297
20761;;2;58
20973;;0;241
22093;;3;143
22367;;1;303
22534;;0;187
22964;;2;251
22988;;0;231
22996;;3;133
23191;;0;109
23337;;0;45
23377;;1;33
23583;;0;112
17012C;;0;36
17012D;;0;39
17012F;;0;39
35095B;;0;8
47591D;;2;246
84032A;;0;154
84032B;;0;159
85034B;;0;140
20674;;0;122
20675;;0;117
20676;;0;233
21232;;2;305
21828;;0;79
21833;;0;76
21986;;2;198
22142;;0;328
22158;;6;292
22314;;0;54
22396;;0;100
22398;;0;121
22400;;0;107
22418;;0;66
22431;;1;155
22433;;1;68
22473;;0;84
22523;;2;106
22548;;0;96
22614;;1;99
22617;;0;398
22647;;0;19
22713;;0;74
22742;;0;54
22755;;0;53
22791;;6;223
22809;;0;359
22955;;3;32
23188;;0;345
23232;;0;111
23308;;0;164
23346;;1;56
23378;;0;131
72817;;2;82
72818;;0;48
85015;;0;145
47594A;;1;29
79191B;;0;10
20983;;1;177
21094;;1;108
21108;;3;211
21205;;0;1
21221;;0;12
21448;;2;45
21559;;1;168
21726;;1;10
21770;;2;342
21787;;0;72
21818;;6;126
21830;;0;28
21982;;1;168
21993;;0;130
22091;;3;169
22094;;1;234
22095;;1;173
22098;;1;246
22131;;1;84
22144;;0;304
22149;;0;279
22328;;1;226
22335;;2;83
22432;;1;88
22440;;0;53
22466;;0;52
22537;;0;77
22573;;6;151
22587;;0;200
22600;;6;114
22603;;6;150
22616;;3;344
22629;;1;250
22630;;1;182
22634;;0;106
22635;;0;167
22727;;4;377
22728;;4;184
22747;;0;108
22800;;0;118
22971;;0;150
22989;;2;361
23120;;1;24
23122;;1;22
23193;;0;211
23208;;1;146
23210;;6;120
23240;;0;333
23241;;0;124
23254;;1;292
23255;;1;100
23256;;1;243
23275;;0;257
23293;;4;303
23294;;4;192
23295;;4;269
23309;;0;155
23319;;0;327
23323;;6;250
23345;;1;74
23348;;0;78
23354;;0;271
23372;;0;113
23390;;0;106
23392;;0;80
23395;;6;164
23396;;6;154
23505;;0;56
23506;;0;40
23559;;0;95
23569;;0;250
84375;;2;315
85227;;0;111
90094;;0;34
10123C;;1;4
35471D;;1;172
47504H;;1;37
47599A;;1;130
85183A;;6;6
20669;;3;48
20748;;0;23
21125;;0;16
21385;;2;225
21439;;0;25
21587;;0;37
21609;;3;34
21623;;2;335
21812;;6;61
21819;;6;28
21820;;6;49
21841;;0;35
21866;;3;59
21867;;3;89
21918;;0;139
22209;;0;93
22371;;0;276
22385;;1;157
22568;;0;133
22753;;0;52
22754;;0;79
22785;;0;31
22981;;0;34
23154;;0;78
23156;;0;50
23159;;0;48
23201;;1;414
23335;;0;103
23353;;0;288
23366;;0;142
23500;;0;68
84050;;2;107
84580;;0;184
84581;;0;71
84947;;6;137
16169E;;0;161
16258A;;0;27
72802C;;2;152
85034A;;0;87
90129F;;3;6
20668;;1;39
20755;;0;29
20757;;0;25
20758;;0;51
20760;;0;20
20828;;0;294
21174;;2;351
21383;;2;57
21481;;2;224
21644;;2;35
21703;;0;98
21908;;2;351
22212;;2;112
22244;;2;28
22245;;2;20
22319;;0;36
22331;;0;56
22355;;1;76
22571;;6;173
22645;;2;198
22663;;1;88
22721;;2;220
22808;;2;33
22895;;2;261
22946;;0;34
23101;;6;171
23126;;0;242
23158;;0;81
23234;;0;172
82482;;2;401
84380;;2;364
85173;;2;57
17090A;;2;1
72351A;;2;63
72351B;;0;120
84029E;;2;135
84406B;;2;115
84536A;;0;137
84559B;;0;14
85049A;;0;249
90160A;;3;8
90160B;;3;4
90160C;;3;6
90160D;;3;6
21213;;1;245
23182;;2;100
20615;;3;11
20652;;3;12
21832;;6;30
21864;;3;97
21865;;3;73
22660;;2;39
22998;;3;230
20618;;3;3
20655;;3;3
20659;;3;5
20619;;0;1
20622;;3;7
22837;;2;73
22419;;0;76
22421;;0;94
20657;;3;8
20658;;1;32
21041;;1;87
21121;;3;192
21154;;2;179
21155;;2;133
21706;;1;38
21746;;1;40
21844;;2;72
21936;;1;129
22078;;6;224
22079;;2;246
22508;;2;282
22584;;0;130
22626;;2;146
82583;;2;254
84992;;2;311
85049C;;0;174
20665;;2;13
21484;;6;195
22180;;2;47
22188;;2;107
22926;;2;147
71459;;2;229
15060B;;2;20
16161P;;4;84
21326;;6;265
21463;;1;40
21464;;1;24
21506;;0;112
21823;;6;23
21824;;6;22
22075;;0;138
22109;;0;151
22583;;0;113
22950;;0;86
23169;;6;134
23225;;6;14
23365;;0;76
23369;;0;118
23503;;0;294
23535;;0;88
84707A;;2;3
20762;;2;61
21677;;1;44
21933;;1;106
21992;;0;347
22132;;1;26
22417;;1;178
22476;;0;71
85035A;;2;136
20677;;0;122
20712;;1;158
21056;;0;27
21086;;1;64
21172;;2;325
21238;;0;91
21239;;0;70
21240;;0;67
21242;;0;111
21243;;0;39
21244;;0;22
21245;;0;22
21246;;1;29
21389;;2;83
21528;;4;17
21534;;4;53
21715;;0;113
21716;;0;33
21754;;2;443
21868;;2;58
22085;;1;34
22088;;1;87
22141;;0;297
22296;;2;253
22302;;2;119
22326;;1;198
22372;;0;98
22416;;1;25
22495;;2;35
22631;;1;92
22725;;4;58
22729;;4;67
22818;;0;105
22894;;2;32
22941;;0;317
23286;;1;53
23288;;1;43
37370;;2;46
37475;;0;29
82551;;2;223
82582;;2;285
84945;;6;175
84969;;4;23
47590B;;1;167
84968C;;4;38
84997A;;1;116
84997C;;1;149
84997D;;1;326
85114B;;2;10
21059;;0;72
21061;;0;47
21166;;2;415
21407;;2;183
21428;;2;83
21900;;2;330
21916;;2;90
22189;;2;283
22297;;2;168
22413;;2;357
22472;;1;77
22514;;2;72
22517;;2;47
22565;;0;90
22580;;0;98
22665;;2;234
22723;;2;204
22738;;0;132
22767;;2;161
84755;;2;348
46000S;;6;92
84510A;;2;58
84997B;;1;117
20718;;1;218
21035;;2;129
21039;;0;4
21217;;2;62
21380;;2;131
21394;;0;16
21498;;4;47
21533;;2;157
21535;;2;82
21620;;3;125
21718;;0;50
21731;;0;191
21742;;6;59
21810;;6;89
21843;;2;227
21906;;2;24
21922;;2;53
21926;;6;11
21974;;2;251
22030;;0;120
22057;;2;21
22219;;2;181
22270;;2;33
22305;;4;23
22376;;0;103
22425;;2;100
22586;;0;155
22595;;6;276
22602;;6;168
22605;;0;158
22628;;1;48
22644;;2;246
22669;;0;137
22819;;0;8
22847;;2;173
22898;;1;128
22992;;0;286
23078;;0;44
23109;;0;114
23203;;1;362
23205;;1;110
23284;;2;398
23313;;6;264
23351;;0;211
23357;;2;63
23501;;0;109
23695;;0;29
40001;;0;3
51014C;;2;57
51014L;;0;28
79191C;;1;24
79191D;;2;4
84029G;;2;217
21508;;0;14
21618;;3;32
21741;;6;18
22171;;2;158
22273;;0;154
22521;;2;46
22625;;2;315
22770;;2;7
23008;;0;39
23245;;4;315
